ex_dividend_date,amount,currency,record_date,payment_date,declaration_date
2021-08-30,0.15417,CAD,2021-08-31,2021-09-15,2021-08-24
2021-07-29,0.15417,CAD,2021-07-30,2021-08-16,2021-07-21
2021-06-29,0.15417,CAD,2021-06-30,2021-07-15,2021-06-22
2021-05-28,0.15417,CAD,2021-05-31,2021-06-15,2021-05-25
2021-04-29,0.15417,CAD,2021-04-30,2021-05-17,2021-04-23
2021-03-30,0.15417,CAD,2021-03-31,2021-04-15,2021-03-24
2021-02-25,0.15417,CAD,2021-02-26,2021-03-15,2021-02-22
2021-01-28,0.15417,CAD,2021-01-29,2021-02-16,2021-01-22
2020-12-30,0.15417,CAD,2020-12-31,2021-01-15,2020-12-22
2020-11-27,0.15417,CAD,2020-11-30,2020-12-15,2020-11-19
2020-10-29,0.15417,CAD,2020-10-30,2020-11-16,2020-10-26
2020-09-29,0.15417,CAD,2020-09-30,2020-10-15,2020-09-24
2020-08-28,0.15417,CAD,2020-08-31,2020-09-15,2020-08-25
2020-07-30,0.15417,CAD,2020-07-31,2020-08-17,2020-07-27
2020-06-29,0.15417,CAD,2020-06-30,2020-07-15,2020-06-25
2020-05-28,0.15417,CAD,2020-05-29,2020-06-15,2020-05-25
2020-04-29,0.15417,CAD,2020-04-30,2020-05-15,2020-04-24
2020-03-30,0.15417,CAD,2020-03-31,2020-04-15,2020-03-19
2020-02-27,0.15417,CAD,2020-02-28,2020-03-16,2020-02-19
2020-01-30,0.15417,CAD,2020-01-31,2020-02-18,2020-01-17
2019-12-30,0.15417,CAD,2019-12-31,2020-01-15,2019-12-19
2019-11-28,0.15417,CAD,2019-11-29,2019-12-16,2019-11-19
2019-10-30,0.15417,CAD,2019-10-31,2019-11-15,2019-10-17
2019-09-27,0.15,CAD,2019-09-30,2019-10-15,2019-09-19
2019-08-29,0.15,CAD,2019-08-30,2019-09-16,2019-08-20
2019-07-30,0.15,CAD,2019-07-31,2019-08-15,2019-07-18
2019-06-27,0.15,CAD,2019-06-28,2019-07-15,2019-06-19
2019-05-30,0.15,CAD,2019-05-31,2019-06-17,2019-05-17
2019-04-29,0.15,CAD,2019-04-30,2019-05-15,2019-04-18
2019-03-28,0.15,CAD,2019-03-29,2019-04-15,2019-03-19
2019-02-27,0.15,CAD,2019-02-28,2019-03-15,2019-02-20
2019-01-30,0.15,CAD,2019-01-31,2019-02-15,2019-01-17
2018-12-28,0.15,CAD,2018-12-31,2019-01-15,2018-12-20
2018-11-29,0.15,CAD,2018-11-30,2018-12-17,2018-11-19
2018-10-30,0.15,CAD,2018-10-31,2018-11-15,2018-10-17
2018-09-27,0.14583,CAD,2018-09-28,2018-10-15,2018-09-19
2018-08-30,0.14583,CAD,2018-08-31,2018-09-17,2018-08-20
2018-07-30,0.14583,CAD,2018-07-31,2018-08-15,2018-07-19
2018-05-30,0.14583,CAD,2018-05-31,2018-06-15,2018-05-17
2018-04-27,0.14583,CAD,2018-04-30,2018-05-15,2018-04-19
2018-03-28,0.14583,CAD,2018-03-30,2018-04-16,2018-03-21
2018-02-27,0.14583,CAD,2018-02-28,2018-03-15,2018-02-20
2018-01-30,0.14583,CAD,2018-01-31,2018-02-15,2018-01-18
2017-12-28,0.14583,CAD,2017-12-29,2018-01-15,2017-12-20
2017-11-29,0.14583,CAD,2017-11-30,2017-12-15,2017-11-20
2017-10-30,0.14583,CAD,2017-10-31,2017-11-15,2017-10-19
2017-09-28,0.14167,CAD,2017-09-29,2017-10-16,2017-09-22
2017-08-29,0.14167,CAD,2017-08-31,2017-09-15,2017-08-18
2017-07-27,0.14167,CAD,2017-07-31,2017-08-15,2017-07-21
2017-06-28,0.14167,CAD,2017-06-30,2017-07-17,2017-06-19
2017-05-29,0.14167,CAD,2017-05-31,2017-06-15,2017-05-17
2017-04-26,0.14167,CAD,2017-04-28,2017-05-15,2017-04-19
2017-03-29,0.14167,CAD,2017-03-31,2017-04-17,2017-03-17
2017-02-24,0.14167,CAD,2017-02-28,2017-03-15,2017-02-17
2017-01-27,0.14167,CAD,2017-01-31,2017-02-15,2017-01-18
2016-12-28,0.14167,CAD,2016-12-30,2017-01-16,2016-12-20
2016-11-28,0.14167,CAD,2016-11-30,2016-12-15,2016-11-17
2016-10-27,0.14167,CAD,2016-10-31,2016-11-15,2016-10-19
2016-09-28,0.1375,CAD,2016-09-30,2016-10-17,2016-09-19
2016-08-29,0.1375,CAD,2016-08-31,2016-09-15,2016-08-16
2016-07-27,0.1375,CAD,2016-07-29,2016-08-15,2016-07-20
2016-06-28,0.1375,CAD,2016-06-30,2016-07-15,2016-06-20
2016-05-27,0.1375,CAD,2016-05-31,2016-06-15,2016-05-18
2016-04-27,0.1375,CAD,2016-04-29,2016-05-16,2016-04-19
2016-03-29,0.1375,CAD,2016-03-31,2016-04-15,2016-03-17
2016-02-25,0.1375,CAD,2016-02-29,2016-03-15,2016-02-18
2016-01-27,0.1375,CAD,2016-01-29,2016-02-16,2016-01-19
2015-12-29,0.1375,CAD,2015-12-31,2016-01-15,2015-12-18
2015-11-26,0.1375,CAD,2015-11-30,2015-12-15,2015-11-18
2015-10-28,0.1375,CAD,2015-10-30,2015-11-16,2015-10-20
